"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"Byers 32J","All Schools",04,Female,14.6,"- -","- -"
"Byers 32J","All Schools",05,Male,21.9,17.9,35.7
"Byers 32J","All Schools",05,Female,25.3,22.7,18.2
"Byers 32J","All Schools",06,Male,17.2,14.8,29.6
"Byers 32J","All Schools",06,Female,20.0,28.1,34.4
"Byers 32J","All Schools",07,Male,16.2,"- -","- -"
"Byers 32J","All Schools",07,Female,14.6,"- -","- -"
"Byers 32J","All Schools",08,Male,14.3,15.6,34.4
"Byers 32J","All Schools",08,Female,12.0,20.6,20.6
"Archuleta County 50 Jt","All Schools","All Grades",Male,98.2,24.4,19.5
"Archuleta County 50 Jt","All Schools","All Grades",Female,96.9,25.7,15.5
"Archuleta County 50 Jt","All Schools",03,Male,96.8,21.7,31.7
"Archuleta County 50 Jt","All Schools",03,Female,94.8,29.1,25.5
"Archuleta County 50 Jt","All Schools",04,Male,98.2,21.4,28.6
"Archuleta County 50 Jt","All Schools",04,Female,98.4,23.3,15.0
"Archuleta County 50 Jt","All Schools",05,Male,96.6,31.6,12.3
"Archuleta County 50 Jt","All Schools",05,Female,96.6,42.9,7.1
"Archuleta County 50 Jt","All Schools",06,Male,100.0,27.8,10.1
"Archuleta County 50 Jt","All Schools",06,Female,94.7,18.5,9.3
"Archuleta County 50 Jt","All Schools",07,Male,98.6,15.7,17.1
"Archuleta County 50 Jt","All Schools",07,Female,98.3,8.8,14.0
"Archuleta County 50 Jt","All Schools",08,Male,98.5,28.4,20.9
"Archuleta County 50 Jt","All Schools",08,Female,98.4,31.7,21.7
"Walsh RE-1","All Schools","All Grades",Male,95.7,9.1,34.1
"Walsh RE-1","All Schools","All Grades",Female,91.4,12.5,25.0
"Walsh RE-1","All Schools",03,Male,100.0,"- -","- -"
"Walsh RE-1","All Schools",03,Female,100.0,"- -","- -"
"Walsh RE-1","All Schools",04,Male,92.3,"- -","- -"
"Walsh RE-1","All Schools",04,Female,83.3,"- -","- -"
"Walsh RE-1","All Schools",05,Male,100.0,"- -","- -"
"Walsh RE-1","All Schools",05,Female,60.0,"- -","- -"
"Walsh RE-1","All Schools",06,Male,100.0,"- -","- -"
"Walsh RE-1","All Schools",06,Female,100.0,"- -","- -"
